time,agricultural_land_%_of_land_area,access to_electricity_%_of_population,access_to_electricity_rural_%_of_rural_population,access_to_electricity_urban_%_of_urban_population,access_to_clean_fuels_and_technologies_for_cooking_urban_%_of_urban_population,access_to_clean_fuels_and_technologies_for_cooking_rural_%_of_rural_population,access_to_clean_fuels_and_technologies_for_cooking_%_of_population,adolescents_out_of_school_%_of_lower_secondary_school_age,adults_ages_15-49_newly_infected_with_hiv,agriculture_forestry_and_fishing_value_added_annual_%_growth,"hospital_beds_per_1,000_people",literacy_rate_adult_total_%_of_people_ages_15_and_above,"physicians_per_1,000_people"
1960,..,..,..,..,..,..,..,..,..,..,1.25048005580902,..,0.092
1961,44.2773307094915,..,..,..,..,..,..,..,..,..,..,..,..
1962,44.2861158941561,..,..,..,..,..,..,..,..,..,..,..,..
1963,44.2949010788207,..,..,..,..,..,..,..,..,..,..,..,..
1964,44.3036862634853,..,..,..,..,..,..,..,..,..,..,..,..
1965,44.3124714481498,..,..,..,..,..,..,..,..,-10.0731914092601,..,..,0.075
1966,44.3212566328144,..,..,..,..,..,..,..,..,23.0287890419214,..,..,..
1967,44.330041817479,..,..,..,..,..,..,..,..,1.73592264426274,..,..,..
1968,44.3388270021436,..,..,..,..,..,..,..,..,4.86301170024288,..,..,..
1969,44.3476121868082,..,..,..,..,..,..,..,..,8.8340320969962,..,..,..
1970,44.3563973714728,..,..,..,..,..,..,..,..,-7.87370901979924,1.26429998874664,..,0.125
1971,44.3651825561373,..,..,..,..,..,..,..,..,16.1272741223789,..,..,..
1972,44.3739677408019,..,..,..,..,..,..,..,..,11.4203175007251,..,..,..
1973,44.3827529254665,..,..,..,..,..,..,..,..,2.72348955087828,..,..,..
1974,44.3915381101311,..,..,..,..,..,..,..,..,-2.44130054033971,..,..,..
1975,44.9309484485364,..,..,..,..,..,..,..,..,7.36223433048447,1.25,..,0.127
1976,44.9414906701339,..,..,..,..,..,..,..,..,1.90621480586222,..,..,..
1977,44.9450047439997,..,..,..,..,..,..,..,..,9.99463474508386,..,..,..
1978,44.9450047439997,..,..,..,..,..,..,..,..,3.77935682317172,..,..,..
1979,44.9450047439997,..,..,..,..,..,..,..,..,2.706341136517,..,..,..
1980,44.9450047439997,..,..,..,..,..,..,..,..,1.07344632953105,..,..,..
1981,44.9450047439997,..,..,..,..,..,..,..,..,5.92509780056784,..,..,0.099
1982,44.9450047439997,..,..,..,..,..,..,..,..,7.36675462953538,..,..,0.12
1983,44.9450047439997,..,..,..,..,..,..,..,..,1.85392704477772,..,..,..
1984,44.813226974031,..,..,..,..,..,..,..,..,-3.4753319668965,..,..,..
1985,46.304951330077,..,..,..,..,..,..,..,..,4.01339797731578,1.70710003376007,..,0.154
1986,46.3383350318024,..,..,..,..,..,..,..,..,4.92458835530942,..,..,..
1987,46.4472713216432,..,..,..,..,..,..,..,..,4.19048660826292,..,..,..
1988,46.8461187054152,..,..,..,..,..,..,..,..,4.55392788482112,..,..,..
1989,47.5331201461855,..,..,..,..,..,..,..,..,4.11336779768988,1.43620002269745,..,..
1990,47.0358786941702,..,..,..,..,..,..,..,140000,3.47184078665002,1.6471999884,..,..
1991,47.2238816459922,..,..,..,..,..,..,..,170000,-0.710415788971147,..,..,..
1992,47.5665038479109,..,..,..,..,..,..,..,180000,-3.32589002749435,..,..,..
1993,47.1588712794743,10.9,4.12953124862802,42.5,..,..,..,..,180000,-3.27195537868386,..,..,0.138
1994,47.8476297571775,3.47343683242798,..,39.2203407287598,..,..,..,..,170000,3.07741459618993,..,..,..
1995,47.8230312401167,5.42734336853027,..,41.0309638977051,..,..,..,..,150000,4.79235836426935,..,..,0.132
1996,46.4753839125698,7.37853050231934,..,42.8289489746094,..,..,..,..,120000,4.47122196549093,..,..,..
1997,46.7266401939769,9.32631778717041,1.10441838046646,44.6111373901367,..,..,..,..,110000,-3.06518090480648,..,..,..
1998,46.4876831711003,14.5,6.64729225091167,47.5,..,..,..,..,94000,8.2895026941119,..,..,..
1999,47.2221246090593,13.2088918685913,4.72589861048926,48.1171684265137,..,..,..,..,85000,7.09237537876908,..,..,..
2000,46.8619320378114,15.1756944656372,6.5597428763928,49.8733978271484,5.5,0.5,1.8,13.830249786377,77000,-1.2772016259421,..,82.2290802001953,..
2001,47.1571142425414,17.0481357574463,8.28544820167588,51.5815010070801,6.8,0.6,2.1,..,72000,11.658066712423,..,..,..
2002,47.1202164669501,18.9120292663574,9.99835516577948,53.2875328063965,8.00000000000001,0.6,2.5,16.0311298370361,69000,-3.49636074457098,1.9,..,0.1335
2003,47.2186105351934,16,6.93733698939277,50.2,9.5,0.700000000000001,3,4.73445987701416,64000,2.43043145259773,..,..,..
2004,47.4259408932776,22.6422061920166,13.41332650872,56.7210693359375,10.8,0.800000000000001,3.4,3.29935002326965,63000,1.74823929747656,1.4,..,..
2005,47.4435112626067,24.5225009918213,15.1302521553757,58.4624290466309,12.3,0.900000000000001,4,1.980299949646,61000,6.90639829878457,..,..,..
2006,47.5348771831184,26.4220523834229,16.8617021461107,60.229133605957,14.1,1,4.6,4.49906015396118,59000,1.73005465160368,1.4,..,..
2007,47.5629897740451,28.3424415588379,18.6094871691503,62.0214157104492,15.6,1.2,5.19999999999999,2.22586011886597,58000,5.08990681368778,..,72.1570281982422,..
2008,47.5893453280388,30.2800559997559,20.3706102986151,63.8330917358398,17,1.3,5.8,0.704330027103424,56000,-4.98326423067236,..,..,0.1664
2009,47.9407527146221,23,10.143525615628,65.6,18.4,1.5,6.40000000000001,1.83258998394012,56000,-2.29778793944311,..,..,0.1686
2010,47.984678637945,19.2,7.17224880271194,58.2,20.05,1.7,7.10000000000001,..,53000,10.3502366532734,1.4,..,0.1696
2011,48.5311171240819,36.1578636169434,25.7034487531936,69.3198471069336,21.8,1.9,7.9,..,50000,2.37568410204945,..,..,0.1748
2012,48.550444530344,38.1259918212891,27.483098079084,71.1444625854492,23.5,2.2,8.70000000000001,..,47000,2.44963347589346,..,..,0.1825
2013,48.5697719366061,40.0921516418457,29.2575094807861,72.9561538696289,25.6,2.5,9.70000000000001,..,44000,4.05001819804166,..,..,0.1907
2014,48.5890993428682,36,25.0723280039754,68.4,27.9,2.8,10.8,..,40000,1.37950051376011,..,78.733039855957,0.1959
2015,48.6101837860632,41.6,29.0025850542399,78.1,30.5,3.3,12.1,..,38000,4.38569276081746,..,..,..
2016,48.6295111923253,53.1,42.0779276682605,84.3,33.6,3.8,13.8,..,34000,1.38939239656027,..,..,..
2017,48.6488385985873,55.8319931030273,45.7714972942856,83.6470184326172,36.9,4.5,15.55,..,31000,-1.28931080106716,..,..,..
2018,48.6681660048494,61.1806144714355,51.5516712403075,87.1748428344727,40,5.29999999999999,17.4,..,28000,5.72419941976952,..,81.5349731445313,0.1565
2019,48.6874934111115,69.7,61.69374174168,90.8,43.8,6.09999999999999,19.5,..,27000,2.6970293188494,..,..,..
2020,48.6874934111115,71.4927139282227,62.6979638519941,94.113395690918,47.7,7.1,21.7,..,27000,4.62269572006007,..,..,..
2021,48.6874934111115,76.5424499511719,68.172482281834,97.5480041503906,51.3,8.3,23.9,..,28000,-0.353227021339578,..,82.620002746582,..
2022,..,..,..,..,..,..,..,..,..,-1.63968660420633,..,..,..
