,time,agricultural_land_%_of_land_area,access_to_electricity_%_of_population,adults_ages_15-49_newly_infected_with_hiv,agriculture_forestry_and_fishing_value_added_annual_%_growth,access_to_electricity_urban_%_of_urban_population,urban_population_%_of_total_population,urban_population_growth_annual_%,urban_population,rural_population,rural_population_%_of_total_population,rural_population_growth_annual_%,population_growth_annual_%,gdp_growth_annual_%,gdp_current_US$,unemployment_rate_%,annual_unemp_change_%
33,1993-12-31,47.1588712794743,10.9,180000.0,-3.27195537868386,42.5,17.645,4.67395998078956,4480388.0,20911442.0,82.355,2.57459783688215,2.94184248128658,0.353197256227247,5751786609.50323,3.256,-0.03
34,1994-12-31,47.8476297571775,3.47343683242798,170000.0,3.07741459618993,39.2203407287598,17.952,4.60491054512765,4691530.0,21442214.0,82.048,2.50651225147274,2.87998841109113,2.632784517837,7148148564.04239,3.21,-0.05
35,1995-12-31,47.8230312401167,5.42734336853027,150000.0,4.79235836426935,41.0309638977051,18.263,4.52693314684529,4908793.0,21969554.0,81.737,2.42959899842942,2.8093665377808,4.40621652482287,9046320196.77295,3.171,-0.04
36,1996-12-31,46.4753839125698,7.37853050231934,120000.0,4.47122196549093,42.8289489746094,18.579,4.42194727064454,5130728.0,22485008.0,81.421,2.31911902345448,2.70647369514666,4.14683926876013,12045865466.4343,3.156,-0.01
37,1997-12-31,46.7266401939769,9.32631778717041,110000.0,-3.06518090480648,44.6111373901367,18.898,4.37684665211023,5360279.0,23003985.0,81.102,2.28186857754259,2.67442877916419,0.474901921293579,13115764432.7232,3.184,0.03
38,1998-12-31,46.4876831711003,14.5,94000.0,8.2895026941119,47.5,19.222,4.38909190679726,5600786.0,23536587.0,80.778,2.28886422739435,2.68916027366031,3.29021372249065,14093998843.7334,3.131,-0.05
39,1999-12-31,47.2221246090593,13.2088918685913,85000.0,7.09237537876908,48.1171684265137,19.55,4.49325422136152,5858183.0,24106946.0,80.45,2.3943910673331,2.80126932153904,2.30538859522412,12896010520.4958,3.125,-0.01
40,2000-12-31,46.8619320378114,15.1756944656372,77000.0,-1.2772016259421,49.8733978271484,19.892,4.6496699104578,6137001.0,24714605.0,80.108,2.48943496961009,2.91544684198394,0.599695390807426,12705350153.4012,3.128,0.0
41,2001-12-31,47.1571142425414,17.0481357574463,72000.0,11.658066712423,51.5815010070801,20.239,4.75820744129826,6436071.0,25364272.0,79.761,2.59472052067152,3.02882685482353,3.77990649795343,12986007425.8781,3.07,-0.06
42,2002-12-31,47.1202164669501,18.9120292663574,69000.0,-3.49636074457098,53.2875328063965,20.591,4.75787616026489,6749693.0,26030130.0,79.409,2.59131435905464,3.03360977756994,0.546859530175595,13147736954.17,3.09,0.02
43,2003-12-31,47.2186105351934,16.0,64000.0,2.43043145259773,50.2,20.948,4.68636153255088,7073537.0,26693585.0,79.052,2.51685611349183,2.96744335273422,2.93247554570904,14904517649.8476,3.042,-0.05
44,2004-12-31,47.4259408932776,22.6422061920166,63000.0,1.74823929747656,56.7210693359375,21.31,4.70283500500608,7414140.0,27377696.0,78.69,2.53053929393576,2.98951543624097,5.10429977629738,16095337093.8366,2.997,-0.04
45,2005-12-31,47.4435112626067,24.5225009918213,61000.0,6.90639829878457,58.4624290466309,21.675,4.6748864150129,7768972.0,28074038.0,78.325,2.51165673710978,2.97658073983056,5.90666607980057,18737895400.78,2.968,-0.03
46,2006-12-31,47.5348771831184,26.4220523834229,59000.0,1.73005465160368,60.229133605957,22.045,4.66734581179976,8140172.0,28785081.0,77.955,2.50119974126259,2.97471111652036,6.47249430015484,25825512277.8911,2.942,-0.03
47,2007-12-31,47.5629897740451,28.3424415588379,58000.0,5.08990681368778,62.0214157104492,22.42,4.6525850875403,8527849.0,29508944.0,77.58,2.48361717453101,2.96582480091057,6.85072976998784,31958195182.2406,2.919,-0.02
48,2008-12-31,47.5893453280388,30.2800559997559,56000.0,-4.98326423067236,63.8330917358398,22.8,4.65955620465768,8934612.0,30252283.0,77.2,2.48782488687014,2.97884515479232,0.232282744812977,35895153327.8497,2.976,0.06
49,2009-12-31,47.9407527146221,23.0,56000.0,-2.29778793944311,65.6,23.183,4.62656353605351,9357689.0,31006755.0,76.817,2.46334312700607,2.96069187652137,3.30693981631089,42347217912.9176,2.92,-0.06
50,2010-12-31,47.984678637945,19.2,53000.0,10.3502366532734,58.2,23.571,4.47731345811679,9786183.0,31731712.0,76.429,2.31114754134791,2.8175240671163,8.05847360290906,45405615233.0693,2.846,-0.07
51,2011-12-31,48.5311171240819,36.1578636169434,50000.0,2.37568410204945,69.3198471069336,23.969,4.32985723379387,10219218.0,32415926.0,76.031,2.13332858533979,2.65543505812038,5.1211061197056,46869473165.8905,2.859,0.01
52,2012-12-31,48.550444530344,38.1259918212891,47000.0,2.44963347589346,71.1444625854492,24.376,4.20972004582599,10658602.0,33067204.0,75.624,1.98921302503175,2.52595644302294,4.56867961444982,56396704833.4676,2.844,-0.02
53,2013-12-31,48.5697719366061,40.0921516418457,44000.0,4.05001819804166,72.9561538696289,24.794,4.11020295604234,11105820.0,33686548.0,75.206,1.85566130389546,2.40993136403743,3.7978483925754,61671440480.6895,2.831,-0.01
54,2014-12-31,48.5890993428682,36.0,40000.0,1.37950051376011,68.4,25.221,4.00170330572801,11559254.0,34272609.0,74.779,1.72478751856617,2.2941780158286,5.02011100232484,68285796662.6532,2.796,-0.04
55,2015-12-31,48.6101837860632,41.6,38000.0,4.38569276081746,78.1,25.658,3.91816860510534,12021155.0,34830333.0,74.342,1.61421813404169,2.20032211952888,4.96772112759767,70120446663.6256,2.774,-0.02
56,2016-12-31,48.6295111923253,53.1,34000.0,1.38939239656027,84.3,26.105,3.9292922985166,12502904.0,35391766.0,73.895,1.59905491586389,2.20214556198549,4.21351706814744,74815143796.3978,2.76,-0.01
57,2017-12-31,48.6488385985873,55.8319931030273,31000.0,-1.28931080106716,83.6470184326172,26.562,3.91117971395226,13001604.0,35946533.0,73.438,1.5553445802804,2.17570842690355,3.83795817364721,82036511258.8324,3.52,0.76
58,2018-12-31,48.6681660048494,61.1806144714355,28000.0,5.72419941976952,87.1748428344727,27.03,3.77930836146027,13502378.0,36450926.0,72.97,1.39342227787337,2.03273400450275,5.64794640709219,92202979940.671,4.245,0.73
59,2019-12-31,48.6874934111115,69.7,27000.0,2.6970293188494,90.8,27.507,3.72777071252016,14015215.0,36936235.0,72.493,1.32261847450592,1.97845694844255,5.11415885767801,100378435824.178,5.01,0.77
60,2020-12-31,48.6874934111115,71.4927139282227,27000.0,4.62269572006007,94.113395690918,27.995,3.76824236257626,14553419.0,37432361.0,72.005,1.33425501311879,2.00970011079671,-0.272766327438816,100657505600.655,5.616,0.61
61,2021-12-31,48.6874934111115,76.5424499511719,28000.0,-0.353227021339578,97.5480041503906,28.493,3.70601674052537,15102890.0,37902724.0,71.507,1.24873851843942,1.94276128252757,7.59048947333467,109703659312.872,5.644,0.03
62,2022-12-31,48.6874934111115,76.5424499511719,28000.0,-1.63968660420633,97.5480041503906,29.002,3.68014405349464,15669052.0,38358435.0,70.998,1.19514686205062,1.90951031059953,4.8466348557707,113420008178.793,5.502,-0.14
